id,status_group
50785,functional needs repair
51630,functional needs repair
17168,functional needs repair
45559,non functional
49871,functional needs repair
52449,functional needs repair
24806,functional
28965,non functional
36301,functional needs repair
54122,functional needs repair
419,functional needs repair
45750,functional needs repair
653,non functional
14017,functional needs repair
44607,functional
40228,functional needs repair
27714,functional
28785,functional
28330,functional needs repair
18532,non functional
69961,non functional
55083,functional
8691,non functional
30331,non functional
70970,functional needs repair
61136,functional
28799,functional needs repair
46825,functional needs repair
44718,functional needs repair
37350,functional needs repair
65738,functional needs repair
3271,non functional
42658,non functional
67523,functional needs repair
37034,functional
42432,functional
27420,functional
707,functional needs repair
48489,functional needs repair
51008,functional needs repair
72562,functional needs repair
10275,functional
53540,functional needs repair
43291,non functional
8813,non functional
62343,functional needs repair
1649,non functional
8822,functional needs repair
10352,functional needs repair
50878,functional
15266,functional needs repair
51956,functional
44099,functional needs repair
59,functional needs repair
51359,non functional
15962,non functional
17853,functional needs repair
42040,functional needs repair
72243,functional needs repair
63653,functional needs repair
26510,functional needs repair
72053,functional needs repair
29351,functional
51897,non functional
20376,functional
26804,functional needs repair
67303,functional needs repair
69780,functional needs repair
45374,functional needs repair
54665,functional needs repair
39341,functional needs repair
8869,functional needs repair
20691,functional needs repair
19693,functional needs repair
14321,non functional
63059,functional needs repair
67403,functional
28912,functional needs repair
12549,functional needs repair
24328,functional needs repair
13750,non functional
1574,functional
44149,functional needs repair
53917,functional needs repair
22705,functional needs repair
66465,functional needs repair
15644,functional needs repair
20773,functional needs repair
33092,functional needs repair
54392,non functional
37850,non functional
5576,functional
60840,functional needs repair
9971,functional needs repair
57508,functional needs repair
25872,non functional
43978,functional
38181,functional
24325,functional needs repair
2724,functional needs repair
34794,functional needs repair
56525,functional needs repair
63155,functional needs repair
67247,functional needs repair
23387,functional needs repair
17873,non functional
18197,functional
24834,functional needs repair
4091,functional
33261,non functional
44384,functional
62096,non functional
64554,functional
68314,functional
53,functional needs repair
23426,functional needs repair
38259,functional needs repair
16631,functional needs repair
43162,functional needs repair
44492,functional needs repair
38884,functional needs repair
13690,functional needs repair
60335,functional needs repair
31856,functional needs repair
67891,functional
25564,functional
55293,functional
31866,functional needs repair
71178,functional needs repair
60279,functional
28615,functional needs repair
8744,functional
48308,functional needs repair
49626,non functional
38098,functional needs repair
30309,functional needs repair
8015,functional
3496,functional needs repair
56971,functional
68616,non functional
8646,functional needs repair
74104,functional needs repair
37501,functional needs repair
33001,non functional
69202,functional needs repair
68409,functional needs repair
51847,functional needs repair
55647,functional needs repair
17923,functional needs repair
71743,non functional
51539,functional needs repair
73819,functional needs repair
66881,functional needs repair
58768,functional needs repair
2648,functional needs repair
68933,functional needs repair
12427,functional needs repair
16633,functional needs repair
24123,functional
58551,functional needs repair
17132,non functional
3027,functional needs repair
2651,non functional
25998,non functional
63400,functional needs repair
50028,functional needs repair
67897,functional needs repair
21425,non functional
71756,functional needs repair
16862,functional needs repair
15420,functional
47784,functional needs repair
712,functional needs repair
54368,functional needs repair
2866,functional needs repair
51130,functional needs repair
27993,functional needs repair
21621,functional needs repair
66038,functional
42182,functional
17694,non functional
57759,functional
47978,functional
52359,functional
69656,functional
24086,functional needs repair
43579,functional needs repair
